timestamp,activity_level,day_of_week
2023-05-01 06:00:00,49.3485951202665,Monday
2023-05-01 06:00:01,49.06110788813462,Monday
2023-05-01 06:00:02,67.00566419410575,Monday
2023-05-01 06:00:03,86.15581458817537,Monday
2023-05-01 06:00:04,56.40764413166266,Monday
2023-05-01 06:00:05,64.92054835818745,Monday
2023-05-01 06:00:06,95.16600976290172,Monday
2023-05-01 06:00:07,80.161446791281,Monday
2023-05-01 06:00:08,56.39407316335297,Monday
2023-05-01 06:00:09,56.83712603853277,Monday
2023-05-01 06:00:10,38.212421719637696,Monday
2023-05-01 06:00:11,39.70656718289934,Monday
2023-05-01 06:00:12,37.21316079784603,Monday
2023-05-01 06:00:13,72.2093376479183,Monday
2023-05-01 06:00:14,100.0,Monday
2023-05-01 06:00:15,79.83314472705442,Monday
2023-05-01 06:00:16,44.29424539328677,Monday
2023-05-01 06:00:17,72.79993936127728,Monday
2023-05-01 06:00:18,100.0,Monday
2023-05-01 06:00:19,56.8767840845789,Monday
2023-05-01 06:00:20,69.33359213980583,Monday
2023-05-01 06:00:21,70.24688533341725,Monday
2023-05-01 06:00:22,60.13747232627759,Monday
2023-05-01 06:00:23,86.68956883402383,Monday
2023-05-01 06:00:24,62.62498398325065,Monday
2023-05-01 06:00:25,67.14250575211263,Monday
2023-05-01 06:00:26,58.57787105750402,Monday
2023-05-01 06:00:27,75.28403813521986,Monday
2023-05-01 06:00:28,100.0,Monday
2023-05-01 06:00:29,46.46445708845078,Monday
2023-05-01 06:00:30,75.24020745364221,Monday
2023-05-01 06:00:31,77.27397006255862,Monday
2023-05-01 06:00:32,49.690526252446254,Monday
2023-05-01 06:00:33,59.376242178006535,Monday
2023-05-01 06:00:34,85.21767703895888,Monday
2023-05-01 06:00:35,44.47729341146577,Monday
2023-05-01 06:00:36,84.80979938062035,Monday
2023-05-01 06:00:37,52.495458926909116,Monday
2023-05-01 06:00:38,67.05083611882468,Monday
2023-05-01 06:00:39,68.123882024644,Monday
2023-05-01 06:00:40,54.363450256716746,Monday
2023-05-01 06:00:41,88.82733497273087,Monday
2023-05-01 06:00:42,84.27650271317691,Monday
2023-05-01 06:00:43,68.5333017109483,Monday
2023-05-01 06:00:44,81.27838244219582,Monday
2023-05-01 06:00:45,75.61782188079509,Monday
2023-05-01 06:00:46,68.22283585516548,Monday
2023-05-01 06:00:47,52.39157267423602,Monday
2023-05-01 06:00:48,60.160456945881954,Monday
2023-05-01 06:00:49,69.48332099326358,Monday
2023-05-01 06:00:50,73.61658937320443,Monday
2023-05-01 06:00:51,100.0,Monday
2023-05-01 06:00:52,63.59978647687565,Monday
2023-05-01 06:00:53,52.242036171641516,Monday
2023-05-01 06:00:54,91.72740222955989,Monday
2023-05-01 06:00:55,93.91430709676695,Monday
2023-05-01 06:00:56,67.4178383812718,Monday
2023-05-01 06:00:57,43.743373288576024,Monday
2023-05-01 06:00:58,73.07085330198865,Monday
2023-05-01 06:00:59,52.36364866421851,Monday
2023-05-01 06:01:00,77.16234079847044,Monday
2023-05-01 06:01:01,100.0,Monday
2023-05-01 06:01:02,84.58852519917214,Monday
2023-05-01 06:01:03,64.21506756477565,Monday
2023-05-01 06:01:04,43.543492149714204,Monday
2023-05-01 06:01:05,59.7950186414134,Monday
2023-05-01 06:01:06,93.92558262205898,Monday
2023-05-01 06:01:07,70.9882211010832,Monday
2023-05-01 06:01:08,67.79858284608049,Monday
2023-05-01 06:01:09,75.90994313396179,Monday
2023-05-01 06:01:10,58.027129565073714,Monday
2023-05-01 06:01:11,93.7868166854891,Monday
2023-05-01 06:01:12,72.67201867899863,Monday
2023-05-01 06:01:13,97.03220769950312,Monday
2023-05-01 06:01:14,68.94106930018853,Monday
2023-05-01 06:01:15,26.97809447624512,Monday
2023-05-01 06:01:16,55.207643670894164,Monday
2023-05-01 06:01:17,60.63631795965716,Monday
2023-05-01 06:01:18,88.04902269628887,Monday
2023-05-01 06:01:19,23.938348403436443,Monday
2023-05-01 06:01:20,94.0885981146623,Monday
2023-05-01 06:01:21,100.0,Monday
2023-05-01 06:01:22,77.17887438879676,Monday
2023-05-01 06:01:23,100.0,Monday
2023-05-01 06:01:24,82.8799007616846,Monday
2023-05-01 06:01:25,58.435225142291436,Monday
2023-05-01 06:01:26,41.07587103527036,Monday
2023-05-01 06:01:27,76.63559293764824,Monday
